VFD Motor Startup Simulation Data
Generated:,2025-10-10 12:38:24
Motor Rating:,800 HP
Load Type:,constant_torque

Time (s),Frequency (Hz),Speed (RPM),Slip (%),Torque (Nm),Load Torque (Nm),Current (A),Power Output (kW),Power Input (kW),Efficiency (%)
0.000,0.00,0.0,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.030,0.06,1.6,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.060,0.12,3.2,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.090,0.18,4.8,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.120,0.24,6.4,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.150,0.30,8.0,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.180,0.36,9.6,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.210,0.42,11.2,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.240,0.48,12.8,100.00,0.0,0.0,0.0,0.00,0.00,0.0
0.270,0.54,14.4,11.12,1587.5,747.8,512.0,1.13,358.95,0.3
0.300,0.60,16.0,11.13,1589.2,749.4,512.3,1.26,359.22,0.3
0.330,0.66,17.6,11.14,1590.8,750.9,512.7,1.38,359.49,0.4
0.360,0.72,19.2,11.16,1592.5,752.4,513.1,1.51,359.76,0.4
0.390,0.78,20.8,11.17,1594.1,753.9,513.5,1.64,360.03,0.5
0.420,0.84,22.4,11.18,1595.7,755.4,513.9,1.77,360.30,0.5
0.450,0.90,24.0,11.19,1597.4,757.0,514.3,1.90,360.56,0.5
0.480,0.96,25.6,11.20,1599.0,758.5,514.6,2.03,360.83,0.6
0.511,1.02,26.2,14.33,184.7,759.1,273.4,2.09,191.71,1.1
0.541,1.08,25.2,22.36,227.5,758.1,275.8,2.00,193.41,1.0
0.571,1.14,24.2,29.38,245.0,757.1,277.0,1.92,194.20,1.0
0.601,1.20,23.2,35.63,252.5,756.2,277.5,1.84,194.55,0.9
0.631,1.26,22.2,41.25,255.9,755.3,277.7,1.76,194.72,0.9
0.661,1.32,21.3,46.35,257.8,754.4,277.8,1.68,194.81,0.9
0.691,1.38,20.3,50.98,259.1,753.4,277.9,1.60,194.88,0.8
