VFD vs Soft Starter Comparison - Motor Startup Simulation
Generated:,2025-10-28 08:22:36
Motor Rating:,800 HP (596.6 kW)
Load Type:,constant_torque

VFD DATA
Time (s),Speed (RPM),Current (A),Torque (Nm),Slip (%),Power In (kW),Power Out (kW),Efficiency (%)
0.000,0.0,0.0,0.0,0.00,0.00,0.00,0.0
0.030,1.6,0.0,0.0,0.00,0.00,0.00,0.0
0.060,3.2,0.0,0.0,0.00,0.00,0.00,0.0
0.090,4.8,0.0,0.0,0.00,0.00,0.00,0.0
0.120,6.4,0.0,0.0,0.00,0.00,0.00,0.0
0.150,8.0,0.0,0.0,0.00,0.00,0.00,0.0
0.180,9.6,0.0,0.0,0.00,0.00,0.00,0.0
0.210,11.2,0.0,0.0,0.00,0.00,0.00,0.0
0.240,12.8,0.0,0.0,0.00,0.00,0.00,0.0
0.270,14.4,269.7,85.5,11.12,27.51,1.13,4.1
0.300,16.0,270.0,95.0,11.13,27.44,1.26,4.6
0.330,17.6,270.2,104.5,11.14,27.38,1.38,5.1
0.360,19.2,270.5,113.9,11.16,27.31,1.51,5.5
0.390,20.8,270.8,123.4,11.17,27.25,1.64,6.0
0.420,22.4,271.2,132.9,11.18,27.19,1.77,6.5
0.450,24.0,271.5,142.3,11.19,27.13,1.90,7.0
0.480,25.6,271.9,151.8,11.20,27.07,2.03,7.5
0.511,26.2,273.4,184.7,14.33,27.13,2.09,7.7
0.541,25.2,275.8,227.5,22.36,27.27,2.00,7.3
0.571,24.2,277.0,245.0,29.38,27.28,1.92,7.0
0.601,23.2,277.5,252.5,35.63,27.24,1.84,6.7
0.631,22.2,277.7,255.9,41.25,27.16,1.76,6.5
0.661,21.3,277.8,257.8,46.35,27.08,1.68,6.2
0.691,20.3,277.9,259.1,50.98,26.99,1.60,5.9
0.721,19.4,278.0,260.5,55.23,26.90,1.53,5.7
0.751,18.4,278.1,262.0,59.12,26.81,1.45,5.4
0.781,17.5,278.3,263.8,62.70,26.73,1.37,5.1
0.811,16.5,278.4,265.9,66.00,26.64,1.30,4.9
0.841,15.6,278.6,268.2,69.06,26.56,1.22,4.6
0.871,14.7,278.8,270.8,71.89,26.48,1.15,4.3
0.901,13.8,279.0,273.6,74.52,26.40,1.08,4.1
0.931,12.9,279.2,276.7,76.96,26.33,1.01,3.8
0.961,12.0,279.5,280.0,79.24,26.25,0.93,3.6
0.991,11.1,279.7,283.4,81.37,26.18,0.86,3.3
1.021,10.2,280.0,287.0,83.36,26.11,0.79,3.0
1.051,9.3,280.3,290.7,85.22,26.04,0.73,2.8
1.081,8.5,280.6,294.6,86.96,25.97,0.66,2.5
1.111,7.6,280.9,298.5,88.59,25.90,0.59,2.3
1.141,6.8,281.2,302.6,90.13,25.83,0.52,2.0
1.171,5.9,281.6,306.8,91.57,25.76,0.46,1.8
1.201,5.1,281.9,311.1,92.92,25.69,0.39,1.5
1.231,4.3,282.3,315.4,94.20,25.63,0.33,1.3
1.261,3.5,282.7,319.9,95.40,25.56,0.27,1.1
1.291,2.7,283.1,324.4,96.53,25.50,0.21,0.8
1.321,1.9,283.5,328.9,97.60,25.43,0.15,0.6
1.351,1.1,283.9,333.5,98.61,25.37,0.09,0.3
1.381,0.4,284.3,338.2,99.56,25.31,0.03,0.1
1.411,-0.4,284.8,344.1,100.00,25.26,-0.03,-0.1
1.441,-1.1,285.5,351.1,100.00,25.21,-0.09,-0.3
1.471,-1.8,286.1,358.1,100.00,25.17,-0.14,-0.6
1.502,-2.6,286.8,365.1,100.00,25.13,-0.20,-0.8
1.532,-3.3,287.4,372.0,100.00,25.09,-0.25,-1.0
1.562,-3.9,288.1,379.0,100.00,25.04,-0.30,-1.2
1.592,-4.6,288.8,385.9,100.00,25.00,-0.35,-1.4
1.622,-5.3,289.5,392.9,100.00,24.96,-0.41,-1.6
1.652,-5.9,290.2,399.8,100.00,24.92,-0.45,-1.8
1.682,-6.5,291.0,406.7,100.00,24.88,-0.50,-2.0
1.712,-7.2,291.7,413.5,100.00,24.84,-0.55,-2.2
1.742,-7.8,292.4,420.4,100.00,24.80,-0.60,-2.4
1.772,-8.4,293.2,427.3,100.00,24.76,-0.64,-2.6
1.802,-8.9,293.9,434.1,100.00,24.72,-0.69,-2.8
1.832,-9.5,294.7,440.9,100.00,24.68,-0.73,-3.0
1.862,-10.0,295.5,447.8,100.00,24.65,-0.77,-3.1
1.892,-10.6,296.2,454.6,100.00,24.61,-0.81,-3.3
1.922,-11.1,297.0,461.4,100.00,24.57,-0.85,-3.5
1.952,-11.6,297.8,468.1,100.00,24.53,-0.89,-3.6
1.982,-12.1,298.6,474.9,100.00,24.49,-0.93,-3.8
2.012,-12.6,299.5,481.6,100.00,24.45,-0.97,-4.0
2.042,-13.1,300.3,488.4,100.00,24.41,-1.00,-4.1
2.072,-13.5,301.1,495.1,100.00,24.38,-1.04,-4.3
2.102,-14.0,301.9,501.8,100.00,24.34,-1.07,-4.4
2.132,-14.4,302.8,508.5,100.00,24.30,-1.11,-4.6
2.162,-14.8,303.6,515.2,100.00,24.26,-1.14,-4.7
2.192,-15.2,304.5,521.9,100.00,24.22,-1.17,-4.8
2.222,-15.6,305.4,528.5,100.00,24.18,-1.20,-5.0
2.252,-16.0,306.2,535.2,100.00,24.15,-1.23,-5.1
2.282,-16.4,307.1,541.8,100.00,24.11,-1.26,-5.2
2.312,-16.7,308.0,548.4,100.00,24.07,-1.29,-5.3
2.342,-17.1,308.9,555.0,100.00,24.03,-1.31,-5.5
